"","Or_name","IUCN_Present","IUCN_id","IUCN_name","IUCN_Category","IUCN_N_syn","IUCN_syn","IUCN_Phylum","IUCN_Class","IUCN_Order","IUCN_Family","ITIS_Present","ITIS_is_valid","ITIS_id","ITIS_name","ITIS_Phylum","ITIS_N_syn","ITIS_syn","ITIS_Class","ITIS_Order","ITIS_Family"
"1","Lampropeltis micropholis","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","valid","1082857","Lampropeltis micropholis","CHORDATA",NA,NA,"REPTILIA","SQUAMATA","COLUBRIDAE"
"2","Lampropeltis triangulum","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","valid","174187","Lampropeltis triangulum","CHORDATA",NA,NA,"REPTILIA","SQUAMATA","COLUBRIDAE"
"3","Lampropeltis ruthveni","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","valid","585904","Lampropeltis ruthveni","CHORDATA",NA,NA,"REPTILIA","SQUAMATA","COLUBRIDAE"
"4","Lampropeltis mexicana","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","valid","174191","Lampropeltis mexicana","CHORDATA",NA,NA,"REPTILIA","SQUAMATA","COLUBRIDAE"
"5","Lampropeltis californiae","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","valid","1082675","Lampropeltis californiae","CHORDATA",NA,NA,"REPTILIA","SQUAMATA","COLUBRIDAE"
"6","Lampropeltis abnorma","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","valid","1082854","Lampropeltis abnorma","CHORDATA",NA,NA,"REPTILIA","SQUAMATA","COLUBRIDAE"
"7","Lampropeltis annulata","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","valid","209230","Lampropeltis annulata","CHORDATA",NA,NA,"REPTILIA","SQUAMATA","COLUBRIDAE"
"8","Lampropeltis polyzona","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","valid","1082856","Lampropeltis polyzona","CHORDATA",NA,NA,"REPTILIA","SQUAMATA","COLUBRIDAE"
"9","Lampropeltis extenuata","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","valid","1082386","Lampropeltis extenuata","CHORDATA",NA,NA,"REPTILIA","SQUAMATA","COLUBRIDAE"
"10","Lampropeltis nigra","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","valid","1082672","Lampropeltis nigra","CHORDATA",NA,NA,"REPTILIA","SQUAMATA","COLUBRIDAE"
"11","Lampropeltis gentilis","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","valid","1082855","Lampropeltis gentilis","CHORDATA",NA,NA,"REPTILIA","SQUAMATA","COLUBRIDAE"
"12","Lampropeltis knoblochi","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","valid","1082765","Lampropeltis knoblochi","CHORDATA",NA,NA,"REPTILIA","SQUAMATA","COLUBRIDAE"
"13","Lampropeltis calligaster","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","valid","174185","Lampropeltis calligaster","CHORDATA",NA,NA,"REPTILIA","SQUAMATA","COLUBRIDAE"
"14","Lampropeltis zonata","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","valid","174193","Lampropeltis zonata","CHORDATA",NA,NA,"REPTILIA","SQUAMATA","COLUBRIDAE"
"15","Lampropeltis holbrooki","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","valid","1082673","Lampropeltis holbrooki","CHORDATA",NA,NA,"REPTILIA","SQUAMATA","COLUBRIDAE"
"16","Lampropeltis splendida","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","valid","1082674","Lampropeltis splendida","CHORDATA",NA,NA,"REPTILIA","SQUAMATA","COLUBRIDAE"
"17","Lampropeltis getula","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","valid","209247","Lampropeltis getula","CHORDATA",NA,NA,"REPTILIA","SQUAMATA","COLUBRIDAE"
"18","Lampropeltis catalinensis","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Lampropeltis webbi","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","valid","1082530","Lampropeltis webbi","CHORDATA",NA,NA,"REPTILIA","SQUAMATA","COLUBRIDAE"
"20","Lampropeltis elapsoides","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","valid","1082764","Lampropeltis elapsoides","CHORDATA",NA,NA,"REPTILIA","SQUAMATA","COLUBRIDAE"
"21","Lampropeltis alterna","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","valid","209266","Lampropeltis alterna","CHORDATA",NA,NA,"REPTILIA","SQUAMATA","COLUBRIDAE"
"22","Lampropeltis pyromelana","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","valid","174192","Lampropeltis pyromelana","CHORDATA",NA,NA,"REPTILIA","SQUAMATA","COLUBRIDAE"
